Tag,出现次数,中文描述
svocab,9,摇篮
symbol,2,符号
symset,1,对齐
szegey,1,赛吉
tactic,3,战术
tdotoh,9,tdotoh 语录
techhd,1,技术
teeler,2,泰勒语Name
tennis,18,网球
the90s,1,90年代
theory,3,理论
tnsguy,1,腾讯
topics,4,专题
trails,8,线索
travel,1047,旅费
trkiye,1,树叶
trumpi,1,布鲁斯
tunnel,1,隧道
tvbase,1,电视
tvfotc,3,tvfotc 数据
tvplus,1,tvplus 函数
uoa_it,38,uoa it
urania,2,乌兰尼亚
usnris,42,用户
vendor,1,供应商
vgames,2,游戏
visleg,39,组合
voting,6,表决
weapon,2,武器
wiznia,1,密苏里州
writer,1236,编剧
xebidy,2,摇摆
xiamen,1,厦门
xleioo,4,x
yuriyg,1,黄色
zenkat,1,日喀则
aaronsw,1,阿龙斯
adopter,4,采纳者
airline,11,航空公司
airport,7,机场
alfredo,1,阿尔弗雷多
amateur,2,业余
animals,1,动物
ansamcw,14,半径
appspot,4,应用程序
aptamer,24,贴纸
arthist,47,艺术
article,1,条款
artist1,1,艺人1
artiste,1,艺术家e
artwork,1,艺术
atheism,258,无神论
atheist,152,无神论者
atlanta,34,亚特兰大
austria,15,奥地利
authors,29,作者
baghdad,1,巴达
bamberg,2,汉堡
banking,7,银行业务
bassist,20,贝斯手
bbcbase,1,布库
bcmoney,7,现金
beatnik,3,贝特尼克
bio2rdf,1,生物二维f
biology,205,生物学
bistrat,1,双轨
blogger,4,博客
borough,16,区
brendan,240,布伦丹
bridges,2,桥
caliber,1,口径
capital,1,资本
casinos,55,赌场
catalog,31,目录
caveart,10,洞穴艺术
ch_city,6,城市( C)
charity,4,慈善事业
chicago,2,芝加哥语
citizen,1,公民
code663,1,代码663
commune,8,乡镇
company,43,企业
concept,1025,概念
content,43,内容
country,283,国家
cricket,10,板球
crmbase,2,基础
cryptid,1,密码
cuisine,11,厨艺
cycling,12,循环
davidar,2,达维达尔
daylife,1,日常生活
dazzler,1,闪烁
de_city,50,脱城
dfhuynh,16,dfhuynh (英语).
disease,207,疾病
drebbel,1,装饰
dresden,1,德累斯顿
drseuss,3,rse
drummer,1,鼓手
drvaman,1,医生
ecology,20,生态学
elbogen,32,精灵
elliott,14,椭圆
elmbase,1,精灵
embassy,12,大使馆
emirate,2,酋长国
england,202,英格兰
epitron,2,缩写
esamsoe,16,香肠
estonia,8,爱沙尼亚
evening,7,晚间
farmfed,10,农牧业
fashion,19,时尚
fblinux,24,fblinux 函数
fengtao,1,风涛
finance,7,财务
firdaus,1,费尔多斯
fossils,3,化石
frakilk,1,粉红色
gadgets,8,设备
gambler,7,赌博者
gavinci,7,加文西语Name
gayporn,3,同性恋
genomic,1,基因组学
geology,2,地质学
germany,2,德国
godbase,62,神库
gr_city,3,灰点( C)
habitat,6,生境
harmeen,2,伤害
history,5,历史
hoaxter,2,骗局
hobbies,1,爱好
holiday,1,节假日
housemd,47,户籍
i001962,1,i001962 (英语).
id_city,1,编号( C)
ikariam,13,爱奇艺
in_city,19,城市内( C)
inktest,2,墨水测试
ipeople,8,iPeople (英语)
ipswich,1,直线
ireland,56,爱尔兰
jeannie,3,简妮
jihnken,4,强肯
jpadge1,1,JPADGE 1 (韩语)
jschell,18,切尔
kengalo,1,肯加罗
kingdom,69,王国
kwtopic,184,kwtopic 时
labeled,7,标签
lawbase,2,法律依据
lbwelch,3,树脂
library,1,图书馆
libreas,3,自由主义
lindenb,11,林顿b
macross,1,宏
madplex,1,疯狂
mangala,2,曼加拉语Name
markets,3,市场
matempo,1,组装
mattdud,1,马特杜德
maxim75,178,标准75
mhagele,3,毫叶草
mheller,3,麦勒
mineral,1,矿物
miquael,4,迈克尔
mobsite,1,黑社会
monarch,11,国王
monster,12,怪兽
montana,3,蒙塔纳
morelaw,40,更进一步
mtgbase,5,mtgbase 数据库
musicpf,6,音乐pf
mybase4,1,我的基地4
myspace,282,我的空间
mystery,160,谜题
nations,4,国家
natlang,17,纳特朗
ndunham,4,农汉
noktulo,1,诺克图洛
nytimes,1,时间
oakland,10,奥克兰
oclbase,4,缩写
omnipop,2,弹幕
oranges,1,橙红色
ovguide,203,光导
oysters,4,牡蛎
painter,1,画家
panthar,1,潘塔尔
patrick,62,"帕特里克,你好吗?"
peleton,9,皮尔顿
people1,2,人员1
pharaoh,1,菩萨
phobias,58,恐惧症
pinball,70,弹球
pirates,5,海盗
pittbug,2,鼠标
planets,3,行星
pokemon,5,刺头
popstra,4370,流行音乐
predict,3,预测
private,3,私营
process,2,进程
produce,11,生产
product,21,产品
program,1,程序
project,4,项目
protest,1,抗议
proveit,1,证明
pumpkin,7,南瓜鱼
raiders,4,突袭者
ramanan,1,拉玛南
rdsbase,1,基地
renrest,7,失败者
reviews,39,审查
rewards,35,奖励
rivalry,1,竞争
robert3,1,罗伯特3号
robertm,4,罗伯特
rocket2,2,火箭2
romania,3,罗马尼亚
rosetta,53,罗塞塔
royalty,318,特许权使用费
running,2,运行
science,27,科学
seafood,57,海产食品
secondi,2,二级
seekers,2,寻求者
service,3,服务
sharing,27,共享
signage,2,符号
skybase,1,天际基
soprano,31,女高音
species,3,物种
spokane,1,sp
sponsor,63,提案国
srkbase,2,浅滩
state12,3,状态 12
student,4,学生
subject,25,主题
subtext,7,子文本
support,2,支助
surfing,10,冲浪
symbian,1,符号
symbols,1084,符号
symptom,67,症状
synedra,33,丝带
szaijan,69,扎伊扬
tallest,2,最高点
tallinn,2,塔林语Name
theater,1074,剧场
thewire,18,线条
thinker,9,思维家
topgear,2,顶盖
toronto,72,托龙托
trigger,1,触发
tseliot,14,齐略特
tsturge,6,突冲
tunnels,2,隧道
tv_host,1,tv 主机
tv_show,44,tv 显示
tvmusic,1,音乐
us_cbsa,7,使用cbsa
vakkern,2,瓦肯语Name
vault13,1,保险库13
venkytv,4,风景
vermont,12,弗蒙特语Name
vinland,1,文兰
vitamin,7,维生素
vtalwar,3,战争
watches,8,手表
weapons,3,武器
webmark,1,网络标记
webpage,10,网页
website,178,网站
whurray,1,wh
wordnet,8,单词网
writing,4,写作
wxt2005,1,wxt2005 (韩语).
wymbase,1,缩写
yesraaj,2,亚拉艾
yragael,1,伊斯兰主义
ywhbase,1,ywhbase (英语).
zionism,3,锡安主义
zivoron,1,齐沃龙
zoabase,2,佐阿基地
zot4you,1,Zot4you (赞美语)
abcbirds,30,鸟类
abh_city,30,abh 城市(城市)
academia,302,学术界
academic,50,学术
activism,311,行动主义
activist,137,活动家
activity,9,活动
adidtest,4,测试
adoption,12,收养
afadafdf,1,法达夫德夫
aircraft,1,飞机
akatenev,1,阿卡捷涅夫
almabase,18,阿尔马巴
alphabet,3,字母表
american,1,美国
americas,1,美 术
andglori,1,安格洛里语Name
anglican,19,英国圣公会
animanga,28,阿尼曼加语Name
aquanaut,2,方纳
argument,1,参数
arranger,1,安排者
art_form,2,艺术形式( F)
artbase1,7,艺术基础1
at_state,7,状态( N)
attacker,3,攻击者
autobase,2,自动基地
aviation,85,航空
babylon5,6,婴儿克隆5
bamberg1,3,汉堡1
baseball,67,棒球队
bdnabase,3,基地
beerbase,6,啤酒库
benvvalk,20,本夫瓦尔克
beverage,1,饮料
bhludzin,1,布卢津
biofluid,4,生物流体
birdinfo,4,鸟信息
bobdohse,1,闪光灯
br_state,2,br 状态
brew_pub,1,酿酒( P)
brewpubs,3,酿酒
broccoli,2,西兰花
building,20,大楼
business,3504,商业
category,1,类别
cdupetit,1,缓冲
cemetery,16,墓地
ceowomen,2,妇女
chemplus,2,化学加
cheunger,30,厨师
chivalry,23,骑士
city_shi,8,城市区
citytown,1632,城镇
codeflow,3,代码流
coltrane,8,铬
comedian,233,喜剧演员
complete,4,完成
composer,904,编曲
computer,250,计算机
concepts,6,概念
congress,2,大会
consoles,1,控制台
crestico,2,丝绸
csafarms,6,沙发
currency,7,货币
customer,25,客户
dancer_s,1,舞者( s)
database,112,数据库
dchudchu,2,chu
ddammann,4,达曼
de_state,13,状态
deadwood,18,废柴
dendarii,1,日记
digicams,8,图像
dinosaur,8,恐龙
director,1142,导演
disaster,1,灾难
district,55,地区
dkrmusix,1,dkrmusix 图像
dminkley,3,德明克利语Name
dockyard,1,码头
doconnor,32,医生
document,1,文档
dogbreed,6,狗养殖
duck1123,16,鸭子1123
dystopia,19,鸡尾酒
edgarpoe,25,编辑
edmonton,8,埃蒙顿
election,1,选举
elements,2,要素
elsevier,1,其他维勒
employee,3,雇员
employer,1807,雇主
endorsee,2,认可
engineer,73,工程师
eurotrip,11,欧元
ffsquare,3,宽度
filebase,1,文件库
film_job,56,胶片( J)
filmnoir,211,电影
folklore,90,民间传说
football,3,橄榄球
formula1,3,公式1 语法
freebase,246,免费基地
freebass,2,免费
futurama,1,未来
gambling,7,赌博
gleebase,24,弹簧
gmackenz,50,格马克肯兹
godchild,10,童神灵
governor,1,州长
grossout,16,毛出数
handball,2,手球
hannover,6,汉诺威
hedgehog,2,刺绣
herkunft,1,赫尔昆夫特
hobbyist,8,爱好者
hoviktor,1,霍维克托尔
hproduct,1,产品
identity,3,身份
ideology,1,意识形态
ignoreme,14,别理我
ihistory,63,历史
imdbbase,3,属性
in_state,24,状态
industry,86,工业
instance,4,实例
interest,6,利息
internet,1092,互联网
inventor,31,发明者
investor,1,投资者
ischools,3,学校
jamslevy,5,干扰
jdouglas,10,日语
joeunger,1,欢乐
journ3eb,1,约恩3b
jphekman,1,Jphekman( 日语)
kawasima,1,川岛
kennebec,5,昆纳贝克
kilaravi,4,基拉维
ksrinivs,1,千斯里尼夫( Ksrinivs)
ktrueman,52,特鲁曼
kwebbase,188,kwebbase 页面
lakebase,6,湖库
landfill,1,填埋
landmark,1,标志
language,90,语言
languoid,53,蓝胶
lasvegas,1,拉斯维加斯
licensee,5,被许可人
ligtvoet,1,标签
litigant,19,诉讼人
location,17935,地点
lodcloud,3,摇篮
lostbase,22,损失基地
lumimies,1,发光
lyricist,600,语言学家
magazine,3,杂志
magician,4,魔术师
material,5,材料
mdaconta,7,米达孔塔
mdresser,1,服装师
medicine,861,药
metamute,1,元质
mgreaves,1,毫克
mikeshwe,8,迈克什韦
military,1168,军事
minerals,5,矿物
mladraft,2,壁画
molecule,6,分子
monarchy,1,君主制
montreal,21,蒙特雷尔
morpheme,1,摩尔菲
movement,1,移动
murderer,5,杀人犯
musician,11,音乐家
musiteca,99,穆西特卡语Name
muveszek,1,木韦泽克
mx_state,7,mx 状态
my_state,6,我的国家
my_stuff,16,我的东西
mybase11,2,我的基地11
myplaces,11,我的住处
myschool,20,我的学校
namesake,282,名称
nasagcmd,2,纳萨格cmd
new_york,5,新黄
nintendo,2,任天堂
noircity,4,异常
not_lube,5,不为lube
novelist,2,小说家
nutrient,71,养分
okkfreeb,1,"好吧,免费b"
olympics,456,奥林匹克运动会
opposite,2,相对
organism,2,有机体
pdavison,5,帕维森
peekbase,1,偷看库
persoana,1,百索阿纳
pitchman,6,投手
playmate,4,游戏伙伴
plopquiz,59,普罗普奎兹
popstra8,2,流行音乐8
position,2,职位
prisoner,23,囚犯
producer,2255,生产商
projects,156,项目
provider,11,提供者
province,97,省份
ps3games,4,ps3游戏
qiqme777,1,qqme777 (英语).
radiusrs,7,半径
raumohir,2,罗莫希尔
rcheramy,50,r
religion,170,宗教
renesona,17,法语
reporter,1,记者
research,2,研究
resource,1,资源
rosshack,1,罗刹
rubylabs,2,红宝石
rvijbase,2,rvijbase (英语).
sai_rath,1,赛义- 拉特
sbsummer,2,夏令时
schnuffi,2,s
scotland,51,苏格兰
scottzee,1,苏格兰
sdnabase,2,标准
semantic,1,语义
sentence,2,句子
services,198,服务
sfawards,30,沙发
shashank,15,沙汉克
shipyard,1,造船厂
skosbase,718,skosbase (英语).
slovakia,12,斯洛文尼亚语Name
snl_host,375,显示主机( H)
software,14,软件
splitter,25,分隔符
standard,1,标准
startrek,15,启动
stirling,1,搅拌
subjects,1,主题
sue_anne,6,起诉( A)
sundance,39,日间活动
sunlight,15,阳光
supernet,2,超级网
survivor,13,幸存者
susanfsu,2,苏桑夫苏
sww_base,1369,湿度( B)
sxswfilm,18,缩写
tea_type,1,茶叶类型
testing3,1,测试3
testrepu,1,测试
testtype,1,测试类型
textiles,2,纺织品
tfmorris,19,tforris (英语)
thenovel,1,小说
thestate,2,状态
tionghoa,5,tion
tmalaher,1,法语
torgbase,1,拖车库
toy_type,1,玩具类型( T)
triggers,3,触发
tsegaran,571,锡加兰
tubeporn,1,管质
tv_actor,3130,tv 显示器
tv_genre,157,tv 流派
tv_lover,1,tv lover (帮助)
twilight,1,黄昏
umltools,1,工具库
uncommon,209,不寻常
univplus,241,未加单位
us_state,50,us 状态
ushahidi,4,乌海迪
vicebase,2,副基地
watchmen,4,观察者
webcomic,5,网络图片
websites,175,网站
webvideo,259,网络视频
yalebase,165,雅尔巴
yangzhou,2,扬州
yardfire,1,院内火灾
yemebase,1,继续前进
yupgrade,1,升级
zxzxbase,1,zxzxbase (日语)
CIDOC_CRM,7,CIDOC 客户端
Computers,2,计算机
a_olympia,1,a 奥林匹克运动会
adherents,2,追随者
agroschim,56,农业学
alexander,239,亚历山大
algorithm,1,算法
allergies,1,过敏
alter_ego,2,变换ego
anarchism,2,无政府主义
angelfish,1,天使鱼
animation,6,动画
appointee,2,被任命者
appointer,32,任命者
arasmuzic,2,阿拉斯穆齐奇语Name
archetype,4,旧类型
architect,16,建筑师
arestrepo,5,实时
argentina,9,阿根廷
armstrade,4,军火贸易
art_owner,38,艺术拥有者
artnoveau,1,艺术
astrology,6,占星学
astronaut,1,宇航员
astronomy,55,天文学
athletics,76,田径
audiobase,8,音频库
audrey_31,3,audrey 31 (英语).
badpeople,20,恶人
bengaluru,5,本加鲁鲁
biologist,1,生物学家
bird_taxa,1,鸟类税a
bollywood,2,宝莱坞
bond_film,22,连接( F)
bowl_game,1,碗游戏
bowlgames,2,碗游戏
breakfast,35,早饭
broadcast,1306,广播
cambridge,55,凸轮桥
campaigns,3,运动
candidate,4,候选人
carebears,2,照顾者
carnivore,1,肉饼
celebrity,2161,名人笔记
certainty,5,确定性
ch_canton,6,状态( C)
character,22,字符
charities,37,慈善机构
chemistry,64,化学
chinuchem,1,中国人
christmas,8,圣诞节
cityscape,25,城市风景
cn_county,1,cn 县
cocktails,17,鸡尾酒
cognition,1,认知
collector,17,收藏家
commoning,4,共性
community,2,社区
companies,4,企业
conductor,32,导师
continent,6,大陆
contralto,52,反转
corelight,1,核心灯
countries,173,国家
crew_role,3,乘员( R)
currency2,1,货币2
curricula,5,课程
cvg_genre,63,cvg 流派
cvirtudes,1,实例
danceporn,23,舞诗
database3,2,数据库3
dataworld,22,数据世界
dchwalisz,1,dchwalisz (英语).
dedicatee,70,专注
dedicator,69,讲师
dementiev,1,神经病
developer,1,开发者
disaster2,118,灾害2
discoazul,1,迪斯科阿苏尔
discovery,1,发现
disneyana,88,迪斯尼娅娜
divideby0,5,除以0
djproctor,11,编导
doctorwho,4,医生
dog_breed,22,犬类( B)
druderman,1,德鲁德曼
dsinclair,4,硬币
e67_birth,1,e67  出生时间
economics,22,经济学
ecoregion,9,生态区域
ecosystem,1,生态系统
editorial,48,编辑
education,2631,学历
entourage,4,随行人员
ethnicity,88,种族
etymology,6,病理学
execution,2,执行
exercises,4,练习
exoplanet,1,前行星
eye_color,6,双眼( C)
familyguy,14,家里人吗?
fan_genre,1,风扇流派( G)
feudalism,2,封建主义
fiberarts,1,纤维
film_star,2,胶片( S)
filmtasks,2,电影任务
filmviews,8,电影视图
firstlive,1,第一线
flavoring,16,风味
food_menu,11,食物菜单
football1,1,橄榄球1
fr_region,14,区域
frameline,2,框线
framework,6,框架
franchise,4,特许权
frankfurt,1,法兰克福
funny_guy,1,风趣男郎
geography,141,地域
giftcards,21,礼品卡
godparent,21,父亲
greatjapa,6,伟大的贾帕
guidebook,1,指南
guidewire,1,导线
guitarist,233,吉他师
guyernest,1,最伟大的
helynevek,40,赫利内韦克
hoby_role,1,蜂窝( R)
holocaust,8,大屠杀
hometowns,1,乡亲
honouriam,2,奥尔良
hsisjason,30,希西贾森语Name
hypocrisy,2,虚伪
ice_cream,2,冰激凌
impostors,4,冒牌货
indiewire,2,内线
indonesia,10,国家
infection,37,感染
influence,2716,影响
iniciador,1,预告
innovator,39,创新者
interests,51,权益
invention,28,发明
it_comune,32,社区
it_region,17,区域
italiantv,3,意大利语
ixtropian,1,九头蛇
jamesbond,1,干扰
jcallahan,1,贾贾拉汉语
jmarcwild,2,缩写
job_title,77,任务( T)
jobtitles,1,职称
joehughes,35,欢呼吧
jsullivan,1,苏利万
kaibutsu3,1,Kaibutsu 3 (韩语)
kconragan,7,kconragan (韩语)
knockoffs,10,淘汰赛
koreanwar,3,大韩民国
krautrock,12,德国摇滚
lake_type,1,湖类型
landcover,21,土地覆盖
leicester,14,莱斯特
lemonflex,1,柠檬叶
lgbtfilms,108,lgbt 胶卷
livemusic,9,现场音乐
localfood,179,当地食品
locations,510,地点
lovecraft,14,爱情
luckyneko,1,幸运子
macarthur,12,马迦图尔
materials,4,材料
mediawiki,3,媒体wiki
melomania,3,墨西哥
mentalist,2,心理医生
micahsaul,21,微萨乌尔
microdata,1,微数据
mindtouch,1,心灵触摸
mobile_tv,7,移动类型( T)
monastery,1,修道院
mooneym20,2,月亮20号
moonhouse,1,月宫
moscratch,332,苔藓
movements,3,流动
mtg_color,5,mtg 颜色
mutargyak,1,变种动物
mwfreeciv,1,mwfreeciv (英语).
my_person,1,个人
mythology,3,神话
nanhikali,1,南希卡利语Name
nbibridge,1,双桥
neothilic,1,新生儿
newspaper,1,报纸
niivgbase,4,单位基数
nutrition,3,营养
obamabase,26,奥巴马基地
operation,1,操作
opposites,4,对立
orchestra,1,乐团
pantheons,3,泛天线
patron_of,1,保护者( O)
patronage,32,赞助
peninsula,2,半岛
performer,89,表演者
periphery,1,外围
pet_owner,94,宠物拥有者
petbreeds,185,宠物
pethealth,38,宠物保健
pgschools,2,小学
physician,15,医生
physicist,2,物理学家
pinkfloyd,6,粉红色战利品
plaintiff,1,原告
podcaster,1,吊灯
politeuri,10,礼貌
popstra14,1,弹幕14
prestatyn,1,备注
