Tag,出现次数,中文描述,权重,类别,类别名称
random,525,随机,0.1276,6,学科与概念（Concept & Subject）
genre,518,流派,0.1259,6,学科与概念（Concept & Subject）
locations,510,地点,0.1239,3,地点与地理（Location）
event,505,事件,0.1227,5,事件与活动（Event）
taxonomy_subject,498,分类学 主题,0.121,6,学科与概念（Concept & Subject）
organization_member,494,组织( 成员),0.12,1,人物与生命（Person & Life）
county,490,县,0.1191,3,地点与地理（Location）
award_category,488,裁决  类别,0.1186,5,事件与活动（Event）
us,477,我们,0.1159,1,人物与生命（Person & Life）
tv_director,473,tv 导演,0.1149,1,人物与生命（Person & Life）
olympics,456,奥林匹克运动会,0.1108,5,事件与活动（Event）
organization_scope,438,组织范围( S),0.1064,2,组织与机构（Organization）
us_county,426,us 县名,0.1035,3,地点与地理（Location）
name_source,421,名称( S),0.1023,6,学科与概念（Concept & Subject）
measured_person,410,测量人数( P),0.0996,8,属性与度量（Attribute & Measurement）
food,403,粮食,0.0979,7,物品与产品（Product & Object）
time,399,时间,0.097,8,属性与度量（Attribute & Measurement）
summermovies2009,392,2009年夏季活动,0.0953,5,事件与活动（Event）
snl_host,375,显示主机( H),0.0911,7,物品与产品（Product & Object）
vocabulary_equivalent_topic,361,词汇表 等同 主题,0.0877,7,物品与产品（Product & Object）
architecture,359,结构,0.0872,8,属性与度量（Attribute & Measurement）
fictional_character_creator,349,虚构的( C),0.0848,1,人物与生命（Person & Life）
eating,343,吃饭,0.0833,5,事件与活动（Event）
media_genre,343,介质类型( G),0.0833,4,创作与娱乐作品（Creative Work）
tv_program,333,tv 程序,0.0809,7,物品与产品（Product & Object）
moscratch,332,苔藓,0.0807,7,物品与产品（Product & Object）
visual_art,327,视觉艺术,0.0795,6,学科与概念（Concept & Subject）
jewlib,323,犹太人,0.0785,1,人物与生命（Person & Life）
royalty,318,特许权使用费,0.0773,2,组织与机构（Organization）
activism,311,行动主义,0.0756,6,学科与概念（Concept & Subject）
flag_referent,311,旗标( R),0.0756,7,物品与产品（Product & Object）
educational_institution_extra,307,教育   机构  外部,0.0746,2,组织与机构（Organization）
academia,302,学术界,0.0734,6,学科与概念（Concept & Subject）
person_in_fiction,297,人物小说,0.0722,1,人物与生命（Person & Life）
berlininternationalfilmfestival,295,国际电影节,0.0717,5,事件与活动（Event）
movies1001,290,电影1001,0.0705,4,创作与娱乐作品（Creative Work）
masterthesis,288,硕士,0.07,8,属性与度量（Attribute & Measurement）
argumentmaps,287,参数图,0.0697,7,物品与产品（Product & Object）
todolists,285,待办事宜列表,0.0693,5,事件与活动（Event）
country,283,国家,0.0688,2,组织与机构（Organization）
myspace,282,我的空间,0.0685,7,物品与产品（Product & Object）
namesake,282,名称,0.0685,6,学科与概念（Concept & Subject）
myspace_user,276,我的空间用户,0.0671,1,人物与生命（Person & Life）
languagesfordomainnames,275,语言域名,0.0668,6,学科与概念（Concept & Subject）
snl_musical_guest,264,音乐( G),0.0641,1,人物与生命（Person & Life）
crime,263,犯罪情况,0.0639,5,事件与活动（Event）
webvideo,259,网络视频,0.0629,7,物品与产品（Product & Object）
military_power,259,军力,0.0629,8,属性与度量（Attribute & Measurement）
atheism,258,无神论,0.0627,6,学科与概念（Concept & Subject）
profession,254,职业,0.0617,6,学科与概念（Concept & Subject）
computer,250,计算机,0.0607,7,物品与产品（Product & Object）
place_of_interment,248,间距( O),0.0603,8,属性与度量（Attribute & Measurement）
flags,246,旗帜,0.0598,7,物品与产品（Product & Object）
freebase,246,免费基地,0.0598,3,地点与地理（Location）
univplus,241,未加单位,0.0586,4,创作与娱乐作品（Creative Work）
brendan,240,布伦丹,0.0583,1,人物与生命（Person & Life）
songwriter,240,歌曲撰写器,0.0583,1,人物与生命（Person & Life）
featured_artist,240,艺人,0.0583,1,人物与生命（Person & Life）
alexander,239,亚历山大,0.0581,1,人物与生命（Person & Life）
top_architectural_city,237,顶部结构 城市,0.0576,6,学科与概念（Concept & Subject）
tv_subject,236,tv 主题,0.0573,4,创作与娱乐作品（Creative Work）
daylifetopics,236,日间生活主题,0.0573,4,创作与娱乐作品（Creative Work）
comedian,233,喜剧演员,0.0566,1,人物与生命（Person & Life）
guitarist,233,吉他师,0.0566,1,人物与生命（Person & Life）
notable_person_with_medical_condition,231,注意( P),0.0561,1,人物与生命（Person & Life）
field_of_study,230,学习区域( O),0.0559,3,地点与地理（Location）
hall_of_fame_inductee,221,图标( F),0.0537,7,物品与产品（Product & Object）
olympic_participating_country,220,奥林匹克  参加  国家,0.0535,2,组织与机构（Organization）
work_of_fiction,218,工作( O),0.053,4,创作与娱乐作品（Creative Work）
fictional_setting,218,虚构设置( S),0.053,8,属性与度量（Attribute & Measurement）
coloniesandempire,215,殖民地和殖民地,0.0522,3,地点与地理（Location）
cannes,214,罐头,0.052,7,物品与产品（Product & Object）
consumermedical,212,消费者医疗,0.0515,6,学科与概念（Concept & Subject）
filmnoir,211,电影,0.0513,4,创作与娱乐作品（Creative Work）
uncommon,209,不寻常,0.0508,8,属性与度量（Attribute & Measurement）
quotation_subject,209,引号 主题,0.0508,6,学科与概念（Concept & Subject）
disease,207,疾病,0.0503,6,学科与概念（Concept & Subject）
place,206,地点,0.0501,3,地点与地理（Location）
musical_group,206,音乐小组合,0.0501,2,组织与机构（Organization）
biology,205,生物学,0.0498,6,学科与概念（Concept & Subject）
ovguide,203,光导,0.0493,6,学科与概念（Concept & Subject）
organization_extra,203,外部组织( O),0.0493,2,组织与机构（Organization）
england,202,英格兰,0.0491,3,地点与地理（Location）
adapted_work,200,适应工作( W),0.0486,4,创作与娱乐作品（Creative Work）
services,198,服务,0.0481,5,事件与活动（Event）
military_combatant,193,作战人员,0.0469,1,人物与生命（Person & Life）
sovereign_state,192,主权国家( S),0.0467,2,组织与机构（Organization）
famouspets,191,名片,0.0464,1,人物与生命（Person & Life）
place_with_neighborhoods,189,与邻里关系( W),0.0459,8,属性与度量（Attribute & Measurement）
kwebbase,188,kwebbase 页面,0.0457,7,物品与产品（Product & Object）
newyorkcity,186,新奥尔良,0.0452,3,地点与地理（Location）
petbreeds,185,宠物,0.045,1,人物与生命（Person & Life）
military_person,185,军人,0.045,1,人物与生命（Person & Life）
names,184,名称,0.0447,8,属性与度量（Attribute & Measurement）
kwtopic,184,kwtopic 时,0.0447,9,其他（Others）
blackhistorymonth,183,黑历史月,0.0445,5,事件与活动（Event）
localfood,179,当地食品,0.0435,7,物品与产品（Product & Object）
maxim75,178,标准75,0.0433,6,学科与概念（Concept & Subject）
website,178,网站,0.0433,7,物品与产品（Product & Object）
dbpedia_import,178,dbpedia 导入,0.0433,5,事件与活动（Event）
events,176,事件,0.0428,5,事件与活动（Event）
websites,175,网站,0.0425,7,物品与产品（Product & Object）
litcentral,175,中点,0.0425,6,学科与概念（Concept & Subject）
countries,173,国家,0.042,2,组织与机构（Organization）
exhibitions,173,展览,0.042,5,事件与活动（Event）
ranked_lists,172,排序( L),0.0418,7,物品与产品（Product & Object）
non_profit_organization,171,非营利组织,0.0416,2,组织与机构（Organization）
religion,170,宗教,0.0413,6,学科与概念（Concept & Subject）
aubreymaturin,170,奥布里马图林,0.0413,1,人物与生命（Person & Life）
record_label,169,记录  标签,0.0411,7,物品与产品（Product & Object）
professional_sports_team,169,专业   体育  团队,2.0411,2,组织与机构（Organization）
film_genre,168,电影流派( G),0.0408,4,创作与娱乐作品（Creative Work）
philosophy,168,哲学,0.0408,6,学科与概念（Concept & Subject）
nobelprizes,168,无贝尔普雷兹,0.0408,5,事件与活动（Event）
netflix_genre,168,净弗利克斯  流派,0.0408,4,创作与娱乐作品（Creative Work）
editor,166,编辑器,0.0403,1,人物与生命（Person & Life）
cinematographer,166,电影摄影师,0.0403,1,人物与生命（Person & Life）
x2010fifaworldcupsouthafrica,166,x2010fifaworldcup 南部非洲,0.0403,3,地点与地理（Location）
yalebase,165,雅尔巴,0.0401,9,其他（Others）
shce021709,165,schce021709 (英语).,0.0401,9,其他（Others）
pro_athlete,165,亲选,0.0401,1,人物与生命（Person & Life）
art_subject,161,艺术 主题,0.0391,6,学科与概念（Concept & Subject）
cinemainspector,161,电影监督员,0.0391,1,人物与生命（Person & Life）
mystery,160,谜题,0.0389,7,物品与产品（Product & Object）
equivalent_topic,160,等同主题,0.0389,8,属性与度量（Attribute & Measurement）
tv_genre,157,tv 流派,0.0381,4,创作与娱乐作品（Creative Work）
projects,156,项目,0.0379,7,物品与产品（Product & Object）
practicer_of_diet,156,练习器( D),0.0379,7,物品与产品（Product & Object）
organization_sector,155,组织部门,0.0377,2,组织与机构（Organization）
comic_books,154,漫画书,0.0374,7,物品与产品（Product & Object）
filmflexmovies,154,胶片胶片,0.0374,7,物品与产品（Product & Object）
atheist,152,无神论者,0.0369,1,人物与生命（Person & Life）
de,151,页:1,0.0367,8,属性与度量（Attribute & Measurement）
markrobertdaveyphotographer,150,马克罗伯特达维摄影师,0.0364,1,人物与生命（Person & Life）
politician,149,政治家,0.0362,1,人物与生命（Person & Life）
award_ceremony,149,授奖仪式( C),0.0362,4,创作与娱乐作品（Creative Work）
non_profit_extra,149,非盈利性,0.0362,8,属性与度量（Attribute & Measurement）
person_sign,148,符号( S),0.036,6,学科与概念（Concept & Subject）
architectural_structure_owner,148,架构 结构 所有者,0.036,1,人物与生命（Person & Life）
award_discipline,147,奖项 纪律,0.0357,7,物品与产品（Product & Object）
geography,141,地域,0.0343,3,地点与地理（Location）
character_occupation,139,字符 职业,0.0338,8,属性与度量（Attribute & Measurement）
issuer,137,发行者,0.0333,2,组织与机构（Organization）
activist,137,活动家,0.0333,1,人物与生命（Person & Life）
film_crewmember,137,摄制组成员( C),0.0333,1,人物与生命（Person & Life）
impersonated_celebrity,134,假名( C),0.0326,1,人物与生命（Person & Life）
law,133,法律,0.0323,7,物品与产品（Product & Object）
dedication,133,奉献,0.0323,5,事件与活动（Event）
performance_role,132,性能( R),0.0321,8,属性与度量（Attribute & Measurement）
chivalric_order_member,131,骑士  命令  成员,0.0318,1,人物与生命（Person & Life）
exhibition_subject,130,展览 主题,0.0316,6,学科与概念（Concept & Subject）
literary_genre,129,文学流派,0.0313,4,创作与娱乐作品（Creative Work）
american_football,128,美国小球,0.0311,7,物品与产品（Product & Object）
alexbl,124,亚历山大,0.0301,1,人物与生命（Person & Life）
honorary_title,123,荣誉( T),0.0299,7,物品与产品（Product & Object）
state,120,状态,0.0292,8,属性与度量（Attribute & Measurement）
instrument,120,文书,0.0292,7,物品与产品（Product & Object）
production_company,120,生产 公司,0.0292,2,组织与机构（Organization）
disaster2,118,灾害2,0.0287,4,创作与娱乐作品（Creative Work）
periodical_subject,118,常规 主题,0.0287,6,学科与概念（Concept & Subject）
uk_statistical_location,118,uk 统计 位置,0.0287,3,地点与地理（Location）
daylife_id,117,日寿( id),0.0284,8,属性与度量（Attribute & Measurement）
protected_sites,117,保护的站点( S),0.0284,7,物品与产品（Product & Object）
karlovyvaryinternationalfilmfestival,117,卡洛维里国际电影节,0.0284,5,事件与活动（Event）
political_district,116,政 区,0.0282,3,地点与地理（Location）
extended_university,115,扩展的大学,1.0279,2,组织与机构（Organization）
database,112,数据库,0.0272,7,物品与产品（Product & Object）
bioventurist,112,生物通风师,0.0272,1,人物与生命（Person & Life）
marchmadness,111,游行疯狂,0.027,5,事件与活动（Event）
football_player,111,足球运动员,0.027,1,人物与生命（Person & Life）
animemanga,110,阿尼梅曼加语Name,0.0267,6,学科与概念（Concept & Subject）
cvg_publisher,110,cvg publisher (中文(简体) ).,0.0267,1,人物与生命（Person & Life）
meteorology,109,气象学,0.0265,6,学科与概念（Concept & Subject）
cyclone_affected_area,109,气旋 受影响区域,0.0265,3,地点与地理（Location）
lgbtfilms,108,lgbt 胶卷,0.0262,7,物品与产品（Product & Object）
cause_of_death,108,死因( O),0.0262,6,学科与概念（Concept & Subject）
medical_term,106,医疗学期,0.0258,7,物品与产品（Product & Object）
dylanrocks,105,龙岩,0.0255,7,物品与产品（Product & Object）
quotation_source,105,引用( S),0.0255,7,物品与产品（Product & Object）
game_voice_actor,103,游戏( V),0.025,1,人物与生命（Person & Life）
theatrical_composer,103,戏剧 组合器,0.025,1,人物与生命（Person & Life）
ttiff,102,顶部,0.0248,9,其他（Others）
region,102,区域,0.0248,3,地点与地理（Location）
lewisandclark,102,蓝宝石,0.0248,5,事件与活动（Event）
vancouver2010,102,梵库维2010年,0.0248,5,事件与活动（Event）
film_distributor,101,胶片( D),0.0245,2,组织与机构（Organization）
cvg_developer,100,cvg 开发者,0.0243,1,人物与生命（Person & Life）
musiteca,99,穆西特卡语Name,0.0241,7,物品与产品（Product & Object）
risk_factor,99,风险因素,0.0241,8,属性与度量（Attribute & Measurement）
board_member,99,理事( C),0.0241,1,人物与生命（Person & Life）
parody,97,讽刺,0.0236,5,事件与活动（Event）
province,97,省份,0.0236,3,地点与地理（Location）
jamie,95,贾米,0.0231,7,物品与产品（Product & Object）
snl_actor,95,显示器,0.0231,1,人物与生命（Person & Life）
parent_institution,95,父机构,0.0231,2,组织与机构（Organization）
beer_country_region,95,啤酒 国家 地区,0.0231,3,地点与地理（Location）
theatrical_lyricist,95,戏剧 语言学家,0.0231,1,人物与生命（Person & Life）
pet_owner,94,宠物拥有者,0.0228,1,人物与生命（Person & Life）
sport_country,94,运动 国家,0.0228,3,地点与地理（Location）
greatamericansongbookradio,94,伟大的美国之声,0.0228,2,组织与机构（Organization）
website_category,93,网站 类别,0.0226,6,学科与概念（Concept & Subject）
comedy_group_member,93,喜剧 团体 成员,0.0226,1,人物与生命（Person & Life）
diet_follower,92,饮食( F),0.0224,1,人物与生命（Person & Life）
folklore,90,民间传说,0.0219,7,物品与产品（Product & Object）
language,90,语言,0.0219,6,学科与概念（Concept & Subject）
performer,89,表演者,0.0216,1,人物与生命（Person & Life）
references,89,参考文献,0.0216,7,物品与产品（Product & Object）
tv_network,89,tv 网络,0.0216,4,创作与娱乐作品（Creative Work）
family_member,89,家族成员,0.0216,1,人物与生命（Person & Life）
disneyana,88,迪斯尼娅娜,0.0214,2,组织与机构（Organization）
ethnicity,88,种族,0.0214,8,属性与度量（Attribute & Measurement）
breed_origin,88,品种来源,0.0214,5,事件与活动（Event）
basketball,87,篮球,0.0211,7,物品与产品（Product & Object）
listed_site,87,上市网站( S),0.0211,7,物品与产品（Product & Object）
industry,86,工业,0.0209,6,学科与概念（Concept & Subject）
ngerakines,86,恶灵,0.0209,1,人物与生命（Person & Life）
ranked_list_item,86,排序( L),0.0209,9,其他（Others）
color,85,颜色,0.0207,6,学科与概念（Concept & Subject）
aviation,85,航空,0.0207,5,事件与活动（Event）
website_owner,85,网站拥有者,0.0207,1,人物与生命（Person & Life）
twitter_user,84,推特用户,0.0204,1,人物与生命（Person & Life）
washingtondc,84,洗衣机dc,0.0204,3,地点与地理（Location）
social_software,84,社交软件,0.0204,7,物品与产品（Product & Object）
xena,83,x,0.0202,9,其他（Others）
defunct_company,83,已停业 公司,0.0202,2,组织与机构（Organization）
qualia,82,夸利亚,0.0199,9,其他（Others）
us_congress,82,我们的大会( C),0.0199,2,组织与机构（Organization）
consumer_company,81,消费者 公司,0.0197,2,组织与机构（Organization）
hockey_team,79,曲棍球小队,2.0192,2,组织与机构（Organization）
earthquakes,78,地震,0.019,5,事件与活动（Event）
worldwartwo,78,世界大战,0.019,5,事件与活动（Event）
job_title,77,任务( T),0.0187,6,学科与概念（Concept & Subject）
fashionmodels,77,时装模特,0.0187,1,人物与生命（Person & Life）
athletics,76,田径,0.0185,1,人物与生命（Person & Life）
task,75,任务,0.0182,6,学科与概念（Concept & Subject）
culturalevent,75,文化活动,0.0182,5,事件与活动（Event）
fight,74,战斗,0.018,5,事件与活动（Event）
sport,74,运动,0.018,5,事件与活动（Event）
military_conflict,74,军事-冲突,0.018,5,事件与活动（Event）
surprisingheights,74,惊人的脚步,0.018,6,学科与概念（Concept & Subject）
engineer,73,工程师,0.0177,1,人物与生命（Person & Life）
rosenbaum,73,罗森鲍姆,0.0177,1,人物与生命（Person & Life）
toronto,72,托龙托,0.0175,1,人物与生命（Person & Life）
inaugurations,72,就职典礼,0.0175,5,事件与活动（Event）
project_focus,72,项目 焦点,0.0175,6,学科与概念（Concept & Subject）
titled_person,72,标题( P),0.0175,1,人物与生命（Person & Life）
nutrient_extra,72,营养素  外部,0.0175,1,人物与生命（Person & Life）
award_presenting_organization,72,授予 提交 组织,0.0175,2,组织与机构（Organization）
nutrient,71,养分,0.0173,1,人物与生命（Person & Life）
venture_capital,71,风险 资本,0.0173,7,物品与产品（Product & Object）
internet_video_genre,71,互联网 视频 流派,0.0173,4,创作与娱乐作品（Creative Work）
pinball,70,弹球,0.017,7,物品与产品（Product & Object）
dedicatee,70,专注,0.017,8,属性与度量（Attribute & Measurement）
political_party,70,政党,0.017,2,组织与机构（Organization）
radio,69,电台,0.0168,4,创作与娱乐作品（Creative Work）
kingdom,69,王国,0.0168,2,组织与机构（Organization）
szaijan,69,扎伊扬,0.0168,1,人物与生命（Person & Life）
dedicator,69,讲师,0.0168,1,人物与生命（Person & Life）
newsevents,69,新条,0.0168,5,事件与活动（Event）
radio_subject,69,电台 主题,0.0168,4,创作与娱乐作品（Creative Work）
amusement_parks,69,游乐园,0.0168,3,地点与地理（Location）
fantasy_football,69,幻想小球,0.0168,7,物品与产品（Product & Object）
theater_producer,68,剧场 制片人,0.0165,1,人物与生命（Person & Life）
academic_institution,68,学术机构,0.0165,2,组织与机构（Organization）
film_production_designer,68,胶片 制作 设计器,0.0165,1,人物与生命（Person & Life）
sfiff,67,微风,0.0163,7,物品与产品（Product & Object）
symptom,67,症状,0.0163,8,属性与度量（Attribute & Measurement）
baseball,67,棒球队,0.0163,7,物品与产品（Product & Object）
organic_thing,67,有机键( W),0.0163,7,物品与产品（Product & Object）
computer_game_subject,67,计算机  游戏  主题,0.0163,4,创作与娱乐作品（Creative Work）
icd_9_cm_classification,67,icd 9 cm 分类,0.0163,6,学科与概念（Concept & Subject）
rivalries,66,竞争,0.016,5,事件与活动（Event）
visual_artist,66,视觉艺术家,0.016,1,人物与生命（Person & Life）
human_language,66,人类语,0.016,6,学科与概念（Concept & Subject）
philbsuniverse,66,双曲线,0.016,6,学科与概念（Concept & Subject）
theater_director,66,剧场 导演,0.016,1,人物与生命（Person & Life）
software_developer,66,软件  开发者,0.016,1,人物与生命（Person & Life）
brand,65,品牌,0.0158,2,组织与机构（Organization）
movie,65,电影,0.0158,4,创作与娱乐作品（Creative Work）
film_art_director,65,电影 艺术 导演,0.0158,1,人物与生命（Person & Life）
artist_s_or_band_s,65,艺人 s 或 band s,0.0158,1,人物与生命（Person & Life）
dancingwiththestars,65,与众星共舞,0.0158,5,事件与活动（Event）
chemistry,64,化学,0.0156,6,学科与概念（Concept & Subject）
olympic_sport,64,奥林匹克运动( S),0.0156,5,事件与活动（Event）
man_made_thing,64,人为( M),0.0156,8,属性与度量（Attribute & Measurement）
siswimsuitmodels,64,女装模型,0.0156,1,人物与生命（Person & Life）
music_video_director,64,音乐 视频 导演,0.0156,1,人物与生命（Person & Life）
sponsor,63,提案国,0.0153,1,人物与生命（Person & Life）
ihistory,63,历史,0.0153,6,学科与概念（Concept & Subject）
cvg_genre,63,cvg 流派,0.0153,9,其他（Others）
disease_cause,63,疾病 因为,0.0153,8,属性与度量（Attribute & Measurement）
parodied_subject,63,已解析主题,0.0153,6,学科与概念（Concept & Subject）
legislative_session,63,立法会议,0.0153,5,事件与活动（Event）
godbase,62,神库,0.0151,2,组织与机构（Organization）
patrick,62,"帕特里克,你好吗?",0.0151,2,组织与机构（Organization）
thefuture,62,未来,0.0151,2,组织与机构（Organization）
drug_ingredient,62,药物,0.0151,8,属性与度量（Attribute & Measurement）
city,61,城市,0.0148,3,地点与地理（Location）
tagasauris,61,塔卡萨乌里,0.0148,2,组织与机构（Organization）
bv_medical_condition,61,bv 医疗条件,0.0148,8,属性与度量（Attribute & Measurement）
misc,60,错误c,0.0146,9,其他（Others）
philosopher,60,哲学家,0.0146,1,人物与生命（Person & Life）
organic_object,60,有机对象( O),0.0146,7,物品与产品（Product & Object）
